epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,401.243,2.04675,22.9591,1.81564,0.65583,0.14952,0.20124,0.09246,1.80187,15.679,1.76011,0.0803131,0.000198857,0.000198857
2,422.885,2.03655,19.227,1.85943,0.43728,0.16875,0.14708,0.05484,2.00548,232.342,2.07004,0.0605092,0.000394908,0.000394908
3,450.13,2.01613,18.4059,1.92933,0.35854,0.35137,0.24122,0.12735,1.72379,18.5317,1.84635,0.0407013,0.000587,0.000587
4,474.977,2.01942,17.8979,1.91435,0.46332,0.37116,0.24533,0.13011,1.80903,12.6665,1.79031,0.0208894,0.000775131,0.000775131
5,498.642,1.98995,16.9851,1.92513,0.33614,0.34927,0.27277,0.13845,1.82292,14.3438,1.85286,0.00107359,0.000959302,0.000959302
6,523.227,1.95224,16.332,1.85379,0.68468,0.32569,0.27592,0.13943,1.78659,15.0251,1.79509,0.0009505,0.0009505,0.0009505
7,544.979,1.95454,16.7319,1.89305,0.55346,0.31739,0.26382,0.13591,1.75381,12.5225,1.71509,0.0009406,0.0009406,0.0009406
8,565.343,1.9244,15.7242,1.80826,0.33099,0.5179,0.3587,0.19516,1.74904,12.2977,1.72722,0.0009307,0.0009307,0.0009307
9,587.064,1.88216,14.5072,1.76354,0.45132,0.31989,0.30222,0.15511,1.69807,12.3196,1.71359,0.0009208,0.0009208,0.0009208
10,609.951,1.8939,15.2838,1.79329,0.61975,0.28719,0.33166,0.15779,1.81034,12.093,1.74279,0.0009109,0.0009109,0.0009109
11,632.492,1.88265,14.9565,1.78355,0.41556,0.49571,0.35653,0.19668,1.59308,12.2708,1.56891,0.000901,0.000901,0.000901
12,655.031,1.80012,13.7337,1.74321,0.50942,0.34897,0.34754,0.17488,1.77696,11.5771,1.67065,0.0008911,0.0008911,0.0008911
13,677.091,1.87833,13.9461,1.80363,0.52718,0.46747,0.40527,0.20465,1.71824,11.2136,1.7262,0.0008812,0.0008812,0.0008812
14,699.589,1.82326,14.2512,1.76075,0.61738,0.32456,0.31861,0.16591,1.66389,10.7661,1.74608,0.0008713,0.0008713,0.0008713
15,723.261,1.7873,14.2906,1.74971,0.78919,0.37637,0.37215,0.17463,1.86417,10.7441,1.74798,0.0008614,0.0008614,0.0008614
16,746.76,1.79945,14.4891,1.7717,0.50419,0.42379,0.33294,0.1767,1.63228,10.9702,1.65672,0.0008515,0.0008515,0.0008515
